type,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,commission,net_pnl,equity,peak,drawdown
Long,31-10-2024 15:45,01-11-2024 15:00,70743.2,71234.5,0.070678171,34.7241855,2.006944837,32.71724067,10032.71724,10032.71724,0
Short,01-11-2024 15:00,02-11-2024 15:45,71234.5,69230.7,0.070420353,141.1083029,1.978321788,139.1299811,10171.84722,10171.84722,0
Long,02-11-2024 15:45,05-11-2024 15:45,69230.7,69666.2,0.073463415,31.99331702,2.040768108,29.95254891,10201.79977,10201.79977,0
Short,05-11-2024 15:45,09-11-2024 18:00,69666.2,76245.3,0.073219149,-481.7161039,2.136703175,-483.852807,9717.946964,10201.79977,-0.047428181
Long,09-11-2024 18:00,10-11-2024 06:45,76245.3,78834.8,0.063728171,165.0240976,1.976594212,163.0475034,9880.994467,10201.79977,-0.031445952
Short,10-11-2024 06:45,16-11-2024 16:30,78834.8,90722.2,0.062668989,-744.9713428,2.125193162,-747.0965359,9133.897931,10201.79977,-0.104677789
Long,16-11-2024 16:30,19-11-2024 19:30,90722.2,93780,0.050339927,153.9294301,1.857565472,152.0718647,9285.969796,10201.79977,-0.089771412
Short,19-11-2024 19:30,22-11-2024 14:15,93780,98150.1,0.049509329,-216.3607198,1.900466103,-218.2611859,9067.70861,10201.79977,-0.111165793
Long,22-11-2024 14:15,27-11-2024 16:30,98150.1,95976.6,0.046193069,-100.4006347,1.793461595,-102.1940963,8965.514514,10201.79977,-0.121183054
Short,27-11-2024 16:30,01-12-2024 03:45,95976.6,96425.6,0.046706773,-20.97134102,1.797297171,-22.76863819,8942.745875,10201.79977,-0.12341488
Long,01-12-2024 03:45,02-12-2024 02:15,96425.6,97971.8,0.046371222,71.699184,1.802889012,69.89629498,9012.64217,10201.79977,-0.116563511
Short,02-12-2024 02:15,02-12-2024 09:45,97971.8,95249.7,0.045996104,125.2059942,1.777487235,123.428507,9136.070677,10201.79977,-0.104464812
Long,02-12-2024 09:45,04-12-2024 06:45,95249.7,96718.5,0.047958527,70.44148491,1.841302432,68.60018248,9204.67086,10201.79977,-0.09774049
Short,04-12-2024 06:45,05-12-2024 21:00,96718.5,99160.1,0.047584851,-116.1831727,1.864170807,-118.0473435,9086.623516,10201.79977,-0.109311717
Long,05-12-2024 21:00,06-12-2024 15:45,99160.1,99311.8,0.045817942,6.950581874,1.81871482,5.131867055,9091.755383,10201.79977,-0.108808682
Short,06-12-2024 15:45,08-12-2024 09:45,99311.8,99127.9,0.045773792,8.417800377,1.816667517,6.601132861,9098.356516,10201.79977,-0.108161626
Long,08-12-2024 09:45,09-12-2024 00:45,99127.9,99708.6,0.045892007,26.64948833,1.825001201,24.82448713,9123.181003,10201.79977,-0.105728282
